"FIT ID","No.","Post Code","Technology","Installation","kW","Commission","Export","Tariff","Country","GO Region","Local Authority","Related ID","Generator Name"
" FIT00768666"," 1"," BN27 "," Photovoltaic "," Domestic"," 0.25 "," 2015-06-08"," Deemed "," PV-R/0-4/06M-1 "," England"," South East "," Wealden "," MCS-00803784-U ","  "
" FIT00677461"," 1"," DN4 "," Photovoltaic "," Commercial"," 0.25 "," 2014-06-23"," Deemed "," PV-N/0-4/05M-2 "," England"," Yorks & Humber "," Doncaster "," MCS-00638735-I ","  "
" FIT00709564"," 1"," TQ13 "," Photovoltaic "," Domestic"," 0.25 "," 2014-08-19"," Deemed "," PV-R/0-4/06H-1 "," England"," South West "," Teignbridge "," MCS-00661586-M ","  "
" FIT00749477"," 1"," BN27 "," Photovoltaic "," Domestic"," 0.25 "," 2015-06-08"," Deemed "," PV-R/0-4/06M-1 "," England"," South East "," Wealden "," MCS-00803755-H ","  "
" FIT00783266"," 1"," NN13 "," Photovoltaic "," Domestic"," 0.25 "," 2016-09-28"," Deemed "," PV-N/0-4/07H-3 "," England"," East Midlands "," South Northamptonshire "," MCS-01000539-W ","  "
" FIT00777069"," 1"," CM7 "," Photovoltaic "," Domestic"," 0.25 "," 2016-05-23"," Deemed "," PV-N/0-4/07L-1 "," England"," East of England "," Braintree "," MCS-00979335-A ","  "
" FIT00644597"," 1"," CB2 "," Photovoltaic "," Domestic"," 0.25 "," 2014-08-15"," Deemed "," PV-R/0-4/06H-1 "," England"," East of England "," Cambridge "," MCS-00663972-G ","  "
" FIT00467773"," 1"," RM15 "," Photovoltaic "," Domestic"," 0.26 "," 2013-12-24"," Deemed "," PV-R/0-4/04H-4 "," England"," East of England "," Thurrock "," MCS-00566849-P ","  "
" FIT00497956"," 1"," RM15 "," Photovoltaic "," Domestic"," 0.26 "," 2014-03-17"," Deemed "," PV-N/0-4/05H "," England"," East of England "," Thurrock "," MCS-00601713-D ","  "
" FIT00500531"," 1"," RM15 "," Photovoltaic "," Domestic"," 0.26 "," 2014-03-17"," Deemed "," PV-N/0-4/05H "," England"," East of England "," Thurrock "," MCS-00601710-V ","  "
" FIT00514898"," 1"," RM15 "," Photovoltaic "," Domestic"," 0.26 "," 2013-12-24"," Deemed "," PV-N/0-4/05H "," England"," East of England "," Thurrock "," MCS-00566855-P ","  "
" FIT00617216"," 1"," TN14 "," Photovoltaic "," Domestic"," 0.26 "," 2014-03-28"," Deemed "," PV-N/0-4/05H "," England"," South East "," Sevenoaks "," MCS-00607963-V ","  "
" FIT00517102"," 1"," RM15 "," Photovoltaic "," Domestic"," 0.28 "," 2013-12-11"," Deemed "," PV-N/0-4/05H "," England"," East of England "," Thurrock "," MCS-00562260-G ","  "
" FIT00010249"," 1"," PA60 "," Hydro "," Domestic"," 0.3 "," 2000-06-01"," Off Grid "," HD/EXGEN/01 "," Scotland"," N/A "," Argyll & Bute "," R00063SYSC "," Lealt Hydro "
" FIT00256651"," 1"," SW19 "," Photovoltaic "," Domestic"," 0.3 "," 2011-12-07"," Deemed "," PV-R/0-4/02 "," England"," London "," Merton "," MCS-00223302-Y ","  "
" FIT00025416"," 1"," GL15 "," Hydro "," Domestic"," 0.3 "," 2010-03-24"," Deemed "," HY/0-15/01 "," England"," South West "," Forest of Dean "," R00164RYEN ","  "
" FIT00200870"," 1"," HR9 "," Photovoltaic "," Domestic"," 0.3 "," 2011-11-30"," No Export "," PV-R/0-4/02 "," England"," West Midlands "," Herefordshire, County of "," MCS-00204884-L ","  "
" FIT00200945"," 1"," BS10 "," Photovoltaic "," Domestic"," 0.3 "," 2011-12-12"," Deemed "," PV-R/0-4/02 "," England"," South West "," Bristol, City of "," MCS-00246071-L ","  "
" FIT00779702"," 1"," RH15 "," Photovoltaic "," Domestic"," 0.31 "," 2016-07-08"," Deemed "," PV-N/0-4/07H-2 "," England"," South East "," Mid Sussex "," MCS-00986827-A ","  "
" FIT00604527"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.32 "," 2014-02-06"," Deemed "," PV-R/0-4/04M-4 "," England"," East of England "," Uttlesford "," MCS-00578875-E ","  "
" FIT00006972"," 1"," TA21 "," Photovoltaic "," Domestic"," 0.32 "," 2009-08-18"," Deemed "," PV-R/0-4/01 "," England"," South West "," Taunton Deane "," MCS-00009208-C ","  "
" FIT00604512"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.32 "," 2014-02-06"," Deemed "," PV-R/0-4/04M-4 "," England"," East of England "," Uttlesford "," MCS-00578861-B ","  "
" FIT00604603"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.32 "," 2014-02-06"," Deemed "," PV-R/0-4/04M-4 "," England"," East of England "," Uttlesford "," MCS-00578870-B ","  "
" FIT00604831"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604859-K ","  "
" FIT00604751"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604850-D ","  "
" FIT00604613"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604832-K ","  "
" FIT00604684"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604838-Y ","  "
" FIT00604624"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604834-E ","  "
" FIT00604692"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604839-T ","  "
" FIT00604670"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604837-E ","  "
" FIT00604737"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604844-X ","  "
" FIT00686992"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-08-20"," Deemed "," PV-N/0-4/06H-2 "," England"," East of England "," Uttlesford "," MCS-00662153-Y ","  "
" FIT00604819"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604853-R ","  "
" FIT00604826"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604857-A ","  "
" FIT00604838"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604862-H ","  "
" FIT00604656"," 1"," CB10 "," Photovoltaic "," Domestic"," 0.33 "," 2014-03-27"," Deemed "," PV-R/0-4/05M "," England"," East of England "," Uttlesford "," MCS-00604836-D ","  "
